CNPJ_Fundo,Nome_Fundo,Lucro_Contabil,Rendimentos_Declarados,%Distribuido
16.671.412/0001-93,FII TELLUS RIO BRAVO RENDA LOGÍSTICA,0.0,34123605.54,inf
16.706.958/0001-32,KINEA RENDIMENTOS IMOBILIÁRIOS FII,107764322.45,198044430.9,183.78
16.706.958/0001-32,KINEA RENDIMENTOS IMOBILIÁRIOS FII,126541340.77,413704888.79,326.93
16.915.968/0001-88,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII,0.0,16039603.52,inf
16.915.968/0001-88,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII,0.0,32679925.13,inf
16.915.968/0001-88,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII,0.0,17135591.6,inf
16.915.968/0001-88,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII,0.0,35062253.08,inf
17.007.443/0001-07,TRANSINC FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.0,6150518.39,inf
17.007.443/0001-07,TRANSINC FUNDO DE INVESTIMENTO IMOBILIARIO - FII,351970.16,8359026.73,2374.92
17.007.443/0001-07,TRANSINC FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.0,443172.58,inf
17.007.443/0001-07,TRANSINC FUNDO DE INVESTIMENTO IMOBILIARIO - FII,0.0,0.0,inf
17.025.970/0001-44,FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE,0.0,10346958.65,inf
17.025.970/0001-44,FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE,0.0,20854818.6,inf
17.025.970/0001-44,FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE,0.0,10383231.03,inf
17.025.970/0001-44,FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE,0.0,21265372.42,inf
17.144.039/0001-85,CASTELLO BRANCO OFFICE PARK FUNDO DE INVEST IMOBILIÁRIO FII,0.0,509399.35,inf
17.144.039/0001-85,CASTELLO BRANCO OFFICE PARK FUNDO DE INVEST IMOBILIÁRIO FII,0.0,1117850.05,inf
17.144.039/0001-85,CASTELLO BRANCO OFFICE PARK FUNDO DE INVEST IMOBILIÁRIO FII,0.0,212250.0,inf
17.144.039/0001-85,CASTELLO BRANCO OFFICE PARK FUNDO DE INVEST IMOBILIÁRIO FII,0.0,495250.0,inf
17.156.502/0001-09,POLO CRÉDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,0.0,10741351.11,inf
