Nome_Fundo,Publico_Alvo
ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIÁRIO CONTAGEM BTS - FII,INVESTIDOR QUALIFICADO
V2 RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,INVESTIDORES EM GERAL
NIHAL - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDOR PROFISSIONAL
TRIPLE A FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIARIO SF - FII,INVESTIDOR PROFISSIONAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO TM - FII,INVESTIDORES EM GERAL
FII MAUA CAPITAL RECEBIVEIS IMOBILIARIOS  FII,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS,INVESTIDORES EM GERAL
FUNDO DE INVESTIMENTO IMOBILIARIO VOTORANTIM PATRIMONIAL XII,INVESTIDOR PROFISSIONAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING,INVESTIDORES EM GERAL
TOP CENTER FUNDO DE INVESTIMENTO IMOBILIARIO,INVESTIDOR QUALIFICADO
NORTHWEST INVESTIMENTOS IMOBILIÁRIOS EM SAÚDE FUND I - FII,INVESTIDOR PROFISSIONAL
JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB,INVESTIDORES EM GERAL
BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
PRIME 16 FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR PROFISSIONAL
PRAIA DO CASTELO FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR PROFISSIONAL
FUNDO DE INVESTIMENTO IMOBILIÁRIO KEYCASH,INVESTIDOR PROFISSIONAL
NF CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR PROFISSIONAL
LOFT II FUNDO DE INVESTIMENTO IMOBILIARIO,INVESTIDOR QUALIFICADO
VINCI LOGÍSTICA FII,INVESTIDORES EM GERAL
XPCE RE FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR PROFISSIONAL
KINEA INDICES DE PREÇOS FII,INVESTIDOR QUALIFICADO
IRON CAPITAL REAL ESTATE I-FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIÁRIO TG ATIVO REAL,INVESTIDORES EM GERAL
OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO- FII,INVESTIDORES EM GERAL
GOLDEN WEST VX FUNDO DE INVESTIMENTO IMOBILIARIO,INVESTIDOR QUALIFICADO
WHITE BEAR FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,INVESTIDOR QUALIFICADO
FUNDO DE INVESTIMENTO IMOBILIARIO ANTILHAS,INVESTIDOR PROFISSIONAL
VIRACONDO FUNDO DE INVESTIMENTO IMOBILIARIO,INVESTIDOR QUALIFICADO
GENIAL MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
XPCE RE FII 2 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR PROFISSIONAL
BRL VI FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDOR QUALIFICADO
GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,INVESTIDORES EM GERAL
DIAMANTE FUNDO DE INVESTIMENTO IMOBILIARIO,INVESTIDORES EM GERAL
JIVE ATIVOS IMOBILIÁRIOS II - FII,INVESTIDOR QUALIFICADO
